student_id,mentor_id,skill_overlap,career_goal_match,industry_match,interest_match,experience_fit,availability_match,compatibility_score,good_match
S001,M001,0.6666666666666666,1,1,0.5,0.8,1,0.83,1
S001,M002,1.0,0,1,0.5,0.6,0,0.5599999999999999,0
S001,M003,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M004,0.3333333333333333,0,1,0.5,0.8,0,0.38,0
S001,M005,0.6666666666666666,1,1,1.0,1.0,1,0.8999999999999999,1
S001,M006,0.3333333333333333,0,0,0.0,0.8,0,0.18,0
S001,M007,0.3333333333333333,0,1,0.0,0.8,1,0.43000000000000005,0
S001,M008,0.0,0,1,0.0,0.8,0,0.23,0
S001,M009,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M010,0.3333333333333333,0,1,0.0,0.8,0,0.33,0
S001,M011,0.3333333333333333,0,1,0.5,0.6,1,0.45999999999999996,0
S001,M012,0.3333333333333333,0,0,0.0,0.8,0,0.18,0
S001,M013,0.3333333333333333,0,1,0.0,0.8,1,0.43000000000000005,0
S001,M014,0.0,0,1,0.5,0.8,1,0.38,0
S001,M015,0.6666666666666666,0,0,0.0,0.6,0,0.26,0
S001,M016,0.6666666666666666,1,1,1.0,0.8,1,0.88,1
S001,M017,0.0,0,1,0.0,0.8,0,0.23,0
S001,M018,0.3333333333333333,0,1,0.5,0.6,1,0.45999999999999996,0
S001,M019,0.0,0,1,0.5,0.8,1,0.38,0
S001,M020,0.6666666666666666,0,0,0.0,0.8,0,0.28,0
S001,M021,0.6666666666666666,1,1,0.5,0.6,1,0.8099999999999999,1
S001,M022,0.0,0,1,0.0,0.8,0,0.23,0
S001,M023,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M024,0.3333333333333333,0,0,0.0,0.8,0,0.18,0
S001,M025,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M026,0.6666666666666666,1,0,0.5,0.6,0,0.5599999999999999,0
S001,M027,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M028,0.3333333333333333,0,1,0.5,0.8,0,0.38,0
S001,M029,0.3333333333333333,0,1,0.0,0.6,1,0.41000000000000003,0
S001,M030,0.6666666666666666,0,0,0.5,1.0,0,0.35,0
S002,M001,0.3333333333333333,1,1,0.5,1.0,0,0.65,1
S002,M002,1.0,0,1,1.0,0.8,1,0.7299999999999999,1
